1	0.689057 0.726202 0.893622 0.74879 0.759436 0.801368 0.758715 0.825369 0.718163 0.909639 0.893206 0.755567 0.880596 0.899462 0.753636 0.792127 0.756651 0.751963 0.722842 0.832925 0.807517 0.903176 0.900676 0.876022 0.772987 0.809823 0.75473 0.79892 0.855106 0.884641 0.897386 0.870856 0.802547 0.760779 0.738778 0.763727 0.782297 0.863008 0.746148 0.72507 0.864223 0.820504 0.820056 0.778143 0.800285 0.744833 0.771301 0.79556 0.780541 0.821383 0.77819 0.78267 0.723643 0.874624 0.770531 0.803495 0.792079 0.812001 0.729965 0.776222 0.74475 0.749027 0.731459 0.908031 0.817344 0.747055 0.785492 0.843662 0.73466 0.823798 0.783358 0.835274 0.762248 0.749747 0.822223 0.863524 0.819736 0.736446 0.754125 0.698615 0.75454 0.81473 0.886945 0.813286 0.806828 0.759823 0.758274 0.774747 0.787192 0.753278 0.787773 0.877875 0.899841 0.816766 0.866254 0.79985 0.848291 0.837446 0.796046 0.72491 
2	0.685648 0.765139 0.760674 0.695354 0.705469 0.825302 0.71439 0.707891 0.693164 0.804035 0.737999 0.70465 0.738644 0.729287 0.703051 0.708862 0.734075 0.698148 0.770032 0.751048 0.700041 0.730998 0.75715 0.757954 0.815346 0.79513 0.822982 0.705167 0.769167 0.723958 0.733556 0.70005 0.771194 0.773905 0.706723 0.701001 0.712835 0.76856 0.728677 0.778488 0.76182 0.701489 0.726505 0.715137 0.732297 0.706479 0.799773 0.726168 0.722353 0.770072 0.696269 0.719538 0.731817 0.745125 0.692311 0.72787 0.736524 0.706098 0.815073 0.726974 0.691765 0.693526 0.710872 0.742468 0.814183 0.815678 0.698201 0.738429 0.70923 0.783954 0.719998 0.728739 0.711807 0.767799 0.709452 0.717973 0.752706 0.704063 0.707196 0.698695 0.822876 0.748807 0.73814 0.72784 0.722053 0.693343 0.742415 0.688016 0.691597 0.71314 0.720797 0.762576 0.777789 0.712825 0.733324 0.720704 0.772058 0.758697 0.81943 0.812757 
3	0.69522 0.710335 0.752892 0.804063 0.936636 0.693927 0.926618 0.837817 0.875209 0.759311 0.740648 0.917483 0.765263 0.776057 0.918974 0.908497 0.801222 0.908352 0.695141 0.743142 0.812582 0.788467 0.782621 0.716748 0.69637 0.683369 0.692867 0.882788 0.728454 0.801238 0.733237 0.76697 0.694595 0.695706 0.923172 0.861808 0.903132 0.707217 0.779931 0.689866 0.800218 0.861265 0.8548 0.894893 0.835749 0.934433 0.692281 0.809268 0.86747 0.690766 0.881141 0.901469 0.758921 0.713171 0.864075 0.878587 0.69201 0.83445 0.684823 0.746707 0.876859 0.915124 0.882301 0.731252 0.707605 0.686325 0.863624 0.720783 0.779322 0.69324 0.88713 0.796233 0.923032 0.69751 0.861047 0.766992 0.690454 0.874848 0.917936 0.798631 0.696886 0.719644 0.769395 0.869434 0.900872 0.832778 0.702806 0.870679 0.782698 0.947001 0.845609 0.740208 0.722335 0.867967 0.805201 0.888495 0.701931 0.712559 0.70518 0.69002 
4	0.676838 0.834101 0.893142 0.783208 0.776962 0.751156 0.780232 0.85205 0.730557 0.907615 0.857139 0.779629 0.8913 0.88725 0.785183 0.809794 0.824658 0.771963 0.695059 0.860576 0.824266 0.912953 0.90491 0.818483 0.733326 0.733169 0.733965 0.821412 0.82656 0.890028 0.83778 0.863986 0.739676 0.723783 0.754317 0.771519 0.810011 0.803483 0.815716 0.690259 0.909877 0.837904 0.854224 0.807822 0.846331 0.760173 0.755592 0.811647 0.817236 0.777609 0.788501 0.806147 0.81493 0.828097 0.775378 0.833984 0.75119 0.829614 0.701741 0.823695 0.745596 0.750418 0.766752 0.868251 0.766947 0.69326 0.811747 0.855006 0.756645 0.759685 0.810291 0.850136 0.781267 0.713267 0.854275 0.877121 0.736804 0.748768 0.762751 0.758771 0.748354 0.786219 0.878731 0.844562 0.840689 0.761925 0.719042 0.778915 0.771138 0.775797 0.818072 0.853198 0.86987 0.849075 0.890385 0.828006 0.759944 0.839102 0.749211 0.684828 
5	0.69348 0.866314 0.857244 0.745076 0.728606 0.829203 0.741585 0.749482 0.708883 0.901923 0.838952 0.735402 0.819046 0.838344 0.72307 0.744184 0.801256 0.733626 0.759317 0.840388 0.772071 0.80756 0.856832 0.862249 0.833491 0.855331 0.869696 0.737118 0.884604 0.81486 0.85341 0.796774 0.846381 0.759816 0.732187 0.741989 0.757383 0.872996 0.796169 0.752832 0.839937 0.736465 0.789346 0.76069 0.785654 0.732477 0.839022 0.806103 0.764367 0.891213 0.734461 0.759534 0.805655 0.872223 0.727214 0.779967 0.865494 0.778911 0.83229 0.828245 0.734102 0.714667 0.745298 0.826443 0.821739 0.820704 0.754311 0.831188 0.771074 0.877733 0.763252 0.807633 0.741272 0.735316 0.755192 0.811529 0.878007 0.724533 0.727392 0.753426 0.858424 0.85252 0.846829 0.781679 0.762686 0.734626 0.72554 0.732541 0.752731 0.737239 0.779954 0.885863 0.881115 0.74724 0.817826 0.767906 0.87652 0.866606 0.795104 0.789313 
6	0.705512 0.890237 0.89974 0.767572 0.734194 0.86506 0.745101 0.793722 0.727976 0.887604 0.864095 0.725986 0.863162 0.8162 0.741541 0.758419 0.800998 0.724842 0.752229 0.860237 0.783949 0.867494 0.844672 0.878278 0.834514 0.843221 0.831898 0.775729 0.853448 0.811088 0.877125 0.835203 0.845662 0.782945 0.733003 0.758637 0.748939 0.864208 0.80969 0.750486 0.867719 0.78787 0.788737 0.764547 0.807538 0.721974 0.869853 0.783456 0.780559 0.869563 0.749691 0.770874 0.821518 0.831863 0.755 0.776884 0.854349 0.762178 0.80741 0.823152 0.711852 0.72473 0.745286 0.906282 0.818673 0.758424 0.752177 0.861469 0.766362 0.853501 0.765188 0.827149 0.742952 0.764144 0.804214 0.843206 0.856506 0.733318 0.732088 0.766752 0.816723 0.854266 0.809035 0.78395 0.782256 0.742335 0.735087 0.737887 0.771324 0.743713 0.774757 0.838313 0.851843 0.79685 0.814603 0.758603 0.839729 0.853678 0.813116 0.774206 
7	0.701102 0.772548 0.781058 0.872152 0.930828 0.72033 0.94076 0.834525 0.928059 0.713556 0.738263 0.846442 0.801549 0.757921 0.884439 0.918608 0.858312 0.916117 0.700373 0.80508 0.841578 0.804941 0.789798 0.740439 0.712375 0.722209 0.71204 0.907276 0.763312 0.807844 0.762568 0.774644 0.722724 0.706184 0.943445 0.90797 0.84224 0.736927 0.859761 0.704097 0.807995 0.88647 0.817951 0.905954 0.880291 0.916039 0.725718 0.833697 0.916154 0.745223 0.909696 0.920351 0.849208 0.739518 0.918056 0.8421 0.750963 0.84741 0.710023 0.774325 0.87976 0.920907 0.910556 0.755829 0.713133 0.704921 0.877672 0.781068 0.853469 0.721085 0.889054 0.839412 0.872835 0.705313 0.880538 0.778773 0.738875 0.933686 0.936432 0.889905 0.712088 0.790959 0.768421 0.812688 0.913158 0.889489 0.702923 0.892257 0.839167 0.945413 0.867247 0.749683 0.752324 0.89285 0.808432 0.804593 0.721938 0.726398 0.710525 0.709245 
8	0.703883 0.907021 0.907201 0.875064 0.801069 0.778348 0.811413 0.895076 0.782306 0.884216 0.854034 0.824641 0.917376 0.890841 0.819396 0.855547 0.910574 0.830292 0.730755 0.93389 0.899263 0.920851 0.921021 0.828602 0.765048 0.785791 0.78323 0.869262 0.88771 0.91893 0.888056 0.90719 0.797726 0.736251 0.802346 0.855518 0.851175 0.847814 0.911252 0.726008 0.922171 0.881442 0.896869 0.86015 0.893953 0.796606 0.791177 0.913957 0.868734 0.86197 0.851837 0.861746 0.922272 0.860195 0.84954 0.876332 0.883169 0.903148 0.762119 0.917208 0.82746 0.810122 0.832542 0.863118 0.757247 0.745643 0.866401 0.896938 0.882297 0.809254 0.861257 0.923471 0.817876 0.728118 0.900103 0.913945 0.851802 0.801999 0.793749 0.881134 0.773839 0.920583 0.902457 0.883468 0.873873 0.858222 0.719358 0.852663 0.883124 0.810659 0.884875 0.877425 0.877654 0.887869 0.921551 0.863713 0.808387 0.884611 0.751757 0.735669 
9	0.694854 0.896 0.861839 0.78903 0.749688 0.786855 0.761302 0.819157 0.718562 0.920549 0.870097 0.764123 0.89082 0.868377 0.758834 0.782912 0.843503 0.763772 0.730265 0.867729 0.815065 0.891632 0.900781 0.847363 0.776885 0.787686 0.806677 0.800153 0.890794 0.871399 0.882773 0.855297 0.812533 0.74342 0.751093 0.766773 0.787691 0.875991 0.827597 0.711657 0.891513 0.78673 0.82911 0.793157 0.831638 0.748559 0.826398 0.842905 0.796061 0.85954 0.775025 0.792426 0.842933 0.866334 0.762381 0.814122 0.872226 0.830806 0.757275 0.864156 0.761451 0.744703 0.776424 0.882055 0.766828 0.75163 0.773462 0.865849 0.78743 0.820463 0.795077 0.828535 0.762 0.726725 0.816387 0.871209 0.848668 0.745688 0.747461 0.792279 0.80513 0.877524 0.896058 0.818646 0.808046 0.766524 0.721292 0.768911 0.781838 0.760528 0.811022 0.897953 0.897253 0.814969 0.872433 0.802802 0.82349 0.875938 0.782422 0.741263 
10	0.701919 0.848377 0.845679 0.923497 0.869521 0.742718 0.883493 0.917835 0.843573 0.824157 0.804883 0.895074 0.867588 0.852807 0.892075 0.919994 0.936533 0.905066 0.714195 0.891724 0.919909 0.874796 0.873387 0.778365 0.736355 0.749495 0.745254 0.923151 0.831461 0.889397 0.826418 0.856569 0.754584 0.716883 0.870511 0.918805 0.916357 0.788366 0.932805 0.711982 0.896782 0.924654 0.928945 0.92265 0.932005 0.862841 0.751091 0.921766 0.927953 0.803919 0.918729 0.922263 0.927372 0.805912 0.917425 0.929188 0.823877 0.929557 0.731826 0.873586 0.89899 0.874712 0.901332 0.803602 0.730326 0.724742 0.920422 0.851604 0.928561 0.761088 0.921983 0.911125 0.889027 0.712968 0.923627 0.867921 0.795052 0.863209 0.860817 0.929394 0.74053 0.869986 0.855155 0.930391 0.931246 0.920514 0.707029 0.91912 0.918428 0.874045 0.934091 0.82134 0.824591 0.926786 0.895691 0.922385 0.764259 0.834753 0.726322 0.72002 
