User:	 Cluster1	 Cluster2
0	9	8
1	9	9
2	45	45
3	27	27
4	6	26
5	24	29
6	48	48
7	41	54
8	40	40
9	16	16
10	6	7
11	33	10
12	28	36
13	20	20
14	35	41
15	14	51
16	34	42
17	44	23
18	23	23
19	17	4
20	52	34
21	32	32
22	34	34
23	8	8
24	49	34
25	44	41
26	25	33
27	26	12
28	28	27
29	40	40
30	19	30
31	47	4
32	31	1
33	50	44
34	29	1
35	5	7
36	24	29
37	24	24
38	51	51
39	36	36
40	38	27
41	23	42
42	20	51
43	23	23
44	50	29
45	22	22
46	10	40
47	32	16
48	48	28
49	55	2
50	53	53
51	48	48
52	21	21
53	30	30
54	40	40
55	40	40
56	2	2
57	21	21
58	25	1
59	24	48
60	55	55
61	1	1
62	51	51
63	17	13
64	35	8
65	2	2
66	10	25
67	30	30
68	11	40
69	51	51
70	14	13
71	53	40
72	23	32
73	11	40
74	52	52
75	40	39
76	51	51
77	53	53
78	38	4
79	54	54
80	25	33
81	41	48
82	14	51
83	27	27
84	14	39
85	38	17
86	27	27
87	10	10
88	38	54
89	41	35
90	30	30
91	44	16
92	28	28
93	22	22
94	41	48
95	8	8
96	25	25
97	54	54
98	54	8
99	27	28
100	28	28
101	46	51
102	48	48
103	51	51
104	27	27
105	29	29
106	25	25
107	38	2
108	36	16
109	47	39
110	41	41
111	52	52
112	17	49
113	52	52
114	55	2
115	13	13
116	23	23
117	5	28
118	52	52
119	10	10
120	42	42
121	27	28
122	21	21
123	11	4
124	27	27
125	46	12
126	4	4
127	38	2
128	5	5
129	28	28
130	26	15
131	50	50
132	41	41
133	48	48
134	51	51
135	12	18
136	35	35
137	47	47
138	23	21
139	33	25
140	46	25
141	40	40
142	35	35
143	17	8
144	51	51
145	1	1
146	5	35
147	23	21
148	7	7
149	12	7
150	18	7
151	30	30
152	20	20
153	14	51
154	24	16
155	24	41
156	21	1
157	33	33
158	51	51
159	38	49
160	15	1
161	35	35
162	35	35
163	46	25
164	37	31
165	18	18
166	55	55
167	38	7
168	21	21
169	27	13
170	46	47
171	33	33
172	25	1
173	28	28
174	12	7
175	19	19
176	42	42
177	52	52
178	42	42
179	11	55
180	7	7
181	41	40
182	33	1
183	52	52
184	48	28
185	13	51
186	6	41
187	14	51
188	54	39
189	26	21
190	38	32
191	32	7
192	15	1
193	53	24
194	18	21
195	47	47
196	54	54
197	32	21
198	5	21
199	14	51
200	24	24
201	32	21
202	54	41
203	32	21
204	25	30
205	49	42
206	38	49
207	26	5
208	14	14
209	48	48
210	38	2
211	8	7
212	24	53
213	53	53
214	36	4
215	1	1
216	38	8
217	51	51
218	14	39
219	6	7
220	38	7
221	49	49
222	44	32
223	12	12
224	26	26
225	19	19
226	51	51
227	55	39
228	54	54
229	8	21
230	31	3
231	53	53
232	52	8
233	54	10
234	1	1
235	27	27
236	44	12
237	15	1
238	11	6
239	34	4
240	37	37
241	18	34
242	19	19
243	8	8
244	21	21
245	19	8
246	11	40
247	27	27
248	44	7
249	38	2
250	44	48
251	17	48
252	11	11
253	22	22
254	5	21
255	27	28
256	41	4
257	35	7
258	6	7
259	28	28
260	7	7
261	42	42
262	44	34
263	21	21
264	29	29
265	43	8
266	41	41
267	44	41
268	46	11
269	43	13
270	44	16
271	32	5
272	35	35
273	39	39
274	3	3
275	38	2
276	17	17
277	22	22
278	43	27
279	30	30
280	40	11
281	17	17
282	38	17
283	23	21
284	15	1
285	8	4
286	39	51
287	28	28
288	31	27
289	40	8
290	29	29
291	49	49
292	12	1
293	53	53
294	13	13
295	22	22
296	47	13
297	38	2
298	10	15
299	31	21
300	18	7
301	32	32
302	6	7
303	33	37
304	22	22
305	35	35
306	25	1
307	21	21
308	4	5
309	24	24
310	36	45
311	10	40
312	55	2
313	25	25
314	33	31
315	42	42
316	43	3
317	14	51
318	12	12
319	2	2
320	34	7
321	43	30
322	47	13
323	17	12
324	24	24
325	1	1
326	25	15
327	48	48
328	32	21
329	43	25
330	7	7
331	40	40
332	29	1
333	29	29
334	31	31
335	42	42
336	48	48
337	32	5
338	29	1
339	29	12
340	38	2
341	44	34
342	44	16
343	13	13
344	10	47
345	12	12
346	10	1
347	43	43
348	5	7
349	35	48
350	17	28
351	7	21
352	47	39
353	51	51
354	35	32
355	38	22
356	47	7
357	43	43
358	42	42
359	36	36
360	55	2
361	17	4
362	55	2
363	20	51
364	24	24
365	31	25
366	29	30
367	41	41
368	50	50
369	51	51
370	6	47
371	48	48
372	27	27
373	4	31
374	11	40
375	39	13
376	31	31
377	40	40
378	29	29
379	50	44
380	42	42
381	24	29
382	20	20
383	43	43
384	34	5
385	6	18
386	30	30
387	3	3
388	41	35
389	22	22
390	33	31
391	7	18
392	15	30
393	48	48
394	53	53
395	30	50
396	27	27
397	18	7
398	14	51
399	8	8
400	17	35
401	50	50
402	35	35
403	40	54
404	19	29
405	8	7
406	47	50
407	15	1
408	7	7
409	50	50
410	1	1
411	1	21
412	12	8
413	43	43
414	1	1
415	51	51
416	52	3
417	4	17
418	43	13
419	30	30
420	17	35
421	42	42
422	51	51
423	21	21
424	7	7
425	34	13
426	2	2
427	11	6
428	34	13
429	24	29
430	34	49
431	24	24
432	30	50
433	46	16
434	28	28
435	49	23
436	43	43
437	32	16
438	8	8
439	17	8
440	42	42
441	7	7
442	10	10
443	15	25
444	49	42
445	46	26
446	29	1
447	14	39
448	22	22
449	10	25
450	25	25
451	4	48
452	7	21
453	18	7
454	43	30
455	31	5
456	7	7
457	2	2
458	14	51
459	19	19
460	21	21
461	44	21
462	50	19
463	11	39
464	11	47
465	15	1
466	54	24
467	46	29
468	43	25
469	52	52
470	37	49
471	37	37
472	33	12
473	35	35
474	23	23
475	44	21
476	28	28
477	11	40
478	8	8
479	4	54
480	16	21
481	7	21
482	47	26
483	14	51
484	19	30
485	11	54
486	46	2
487	36	27
488	47	43
489	36	52
490	17	9
491	20	14
492	41	11
493	44	16
494	49	27
495	13	4
496	38	34
497	15	1
498	12	8
499	52	52
500	2	2
501	54	40
502	33	43
503	22	31
504	44	21
505	51	51
506	11	26
507	42	42
508	32	21
509	49	23
510	14	51
511	46	31
512	44	21
513	13	13
514	26	26
515	44	34
516	29	18
517	29	12
518	24	16
519	12	12
520	43	43
521	42	42
522	31	27
523	7	18
524	43	30
525	27	27
526	19	19
527	32	32
528	26	31
529	42	42
530	32	41
531	42	42
532	32	21
533	29	12
534	14	51
535	23	3
536	25	25
537	43	43
538	28	28
539	40	39
540	18	16
541	2	2
542	32	32
543	43	43
544	14	51
545	53	12
546	34	42
547	22	22
548	21	21
549	21	21
550	12	1
551	22	21
552	53	53
553	51	51
554	52	55
555	16	16
556	42	42
557	15	1
558	46	17
559	28	28
560	55	39
561	27	27
562	42	42
563	43	10
564	2	2
565	32	21
566	36	36
567	54	4
568	24	53
569	24	41
570	49	48
571	55	55
572	47	4
573	40	40
574	48	48
575	36	44
576	7	7
577	40	40
578	8	44
579	43	27
580	24	24
581	51	51
582	12	12
583	54	54
584	34	34
585	37	42
586	12	7
587	1	1
588	11	45
589	6	11
590	26	31
591	38	4
592	11	11
593	29	30
594	41	41
595	2	2
596	51	51
597	51	13
598	10	25
599	20	51
600	18	32
601	42	42
602	17	9
603	28	28
604	13	41
605	50	16
606	40	54
607	35	35
608	4	4
609	31	42
610	41	21
611	2	2
612	8	7
613	52	52
614	31	27
615	2	2
616	46	2
617	2	2
618	46	30
619	53	18
620	13	22
621	10	15
622	34	34
623	31	21
624	11	54
625	36	4
626	22	42
627	53	53
628	52	52
629	29	29
630	21	21
631	49	48
632	20	39
633	52	52
634	15	1
635	42	42
636	16	21
637	3	3
638	16	16
639	40	40
640	8	30
641	38	21
642	51	51
643	13	13
644	10	10
645	31	28
646	35	48
647	39	13
648	49	49
649	17	13
650	21	21
651	48	48
652	14	51
653	7	7
654	12	1
655	25	25
656	51	51
657	22	35
658	8	8
659	21	21
660	27	27
661	49	23
662	48	48
663	15	15
664	22	22
665	6	41
666	49	22
667	17	48
668	32	35
669	33	33
670	26	26
671	27	27
672	11	15
673	4	49
674	51	14
675	32	32
676	29	1
677	32	21
678	31	21
679	51	51
680	52	52
681	43	10
682	48	28
683	14	51
684	44	44
685	54	54
686	35	41
687	43	10
688	36	42
689	18	21
690	6	1
691	7	21
692	3	3
693	20	51
694	44	7
695	26	31
696	3	3
697	34	34
698	32	32
699	46	37
700	6	40
701	1	1
702	46	2
703	14	51
704	22	2
705	11	11
706	13	41
707	2	2
708	22	22
709	7	21
710	26	1
711	34	23
712	23	23
713	35	32
714	3	3
715	5	5
716	2	2
717	35	35
718	38	25
719	13	13
720	32	41
721	40	40
722	14	51
723	41	41
724	11	11
725	53	53
726	12	8
727	12	8
728	5	5
729	17	50
730	50	16
731	8	5
732	6	7
733	14	14
734	32	21
735	13	39
736	26	31
737	55	49
738	44	21
739	2	2
740	22	22
741	42	42
742	30	30
743	23	21
744	55	55
745	35	35
746	49	49
747	37	37
748	1	21
749	10	10
750	2	2
751	18	18
752	35	32
753	13	13
754	26	8
755	27	27
756	32	32
757	54	54
758	29	41
759	11	10
760	17	49
761	36	23
762	43	27
763	36	16
764	32	21
765	19	19
766	36	12
767	55	39
768	25	43
769	32	32
770	2	2
771	13	48
772	13	13
773	34	4
774	20	40
775	36	30
776	32	32
777	5	28
778	51	51
779	23	23
780	35	32
781	55	55
782	48	35
783	39	51
784	48	28
785	42	42
786	39	39
787	23	23
788	13	51
789	49	49
790	21	21
791	49	13
792	43	12
793	30	19
794	6	8
795	1	1
796	29	29
797	44	16
798	55	4
799	52	16
800	1	1
801	21	21
802	28	27
803	11	6
804	24	24
805	33	30
806	38	2
807	4	5
808	50	2
809	4	4
810	10	43
811	51	51
812	53	53
813	36	36
814	51	51
815	37	31
816	32	32
817	41	39
818	48	48
819	42	42
820	55	55
821	50	16
822	6	50
823	25	1
824	33	33
825	46	2
826	43	25
827	14	24
828	25	31
829	37	22
830	47	31
831	50	50
832	54	40
833	29	29
834	38	42
835	52	52
836	43	31
837	14	51
838	21	21
839	12	1
840	55	55
841	51	51
842	19	50
843	47	13
844	40	40
845	31	21
846	30	19
847	6	34
848	50	50
849	25	1
850	49	49
851	19	44
852	23	36
853	41	41
854	12	18
855	46	2
856	25	25
857	37	21
858	49	2
859	22	22
860	19	19
861	11	15
862	27	27
863	25	1
864	27	27
865	55	39
866	2	2
867	22	22
868	32	16
869	19	50
870	51	14
871	49	4
872	25	25
873	33	43
874	55	39
875	5	4
876	32	32
877	49	49
878	33	30
879	49	48
880	32	32
881	42	42
882	55	2
883	4	4
884	49	42
885	55	55
886	6	7
887	17	35
888	1	1
889	35	16
890	13	51
891	37	27
892	55	55
893	4	7
894	53	53
895	14	39
896	41	41
897	43	4
898	12	12
899	20	51
900	55	2
901	14	14
902	14	51
903	5	5
904	4	42
905	17	35
906	43	43
907	47	17
908	2	2
909	43	1
910	21	12
911	30	7
912	36	23
913	10	10
914	48	48
915	8	8
916	54	49
917	35	41
918	1	21
919	13	48
920	7	7
921	4	7
922	53	53
923	12	6
924	52	52
925	52	52
926	53	53
927	15	15
928	21	21
929	4	47
930	25	1
931	40	40
932	54	40
933	12	12
934	35	7
935	17	35
936	34	7
937	2	2
938	3	31
939	39	39
940	20	51
941	11	40
942	11	8
943	39	51
944	8	8
945	43	10
946	38	8
947	1	25
948	23	28
949	49	49
950	52	53
951	6	6
952	26	31
953	6	7
954	7	5
955	11	49
956	15	15
957	10	15
958	17	41
959	11	6
960	55	39
961	40	4
962	7	7
963	53	53
964	10	40
965	11	11
966	53	53
967	6	34
968	40	11
969	32	7
970	34	5
971	2	2
972	12	12
973	43	13
974	31	21
975	14	51
976	26	21
977	20	51
978	17	28
979	36	27
980	26	26
981	29	29
982	36	23
983	21	21
984	34	5
985	38	55
986	12	12
987	8	19
988	33	43
989	35	48
990	29	29
991	46	54
992	47	4
993	27	27
994	24	29
995	5	5
996	54	9
997	11	11
998	5	5
999	27	27
1000	39	15
1001	11	40
1002	43	10
1003	32	23
1004	43	13
1005	55	13
1006	19	45
1007	30	30
1008	55	55
1009	7	21
1010	36	44
1011	29	29
1012	30	19
1013	43	43
1014	1	1
1015	53	6
1016	44	22
1017	5	28
1018	1	1
1019	48	48
1020	25	25
1021	39	41
1022	33	1
1023	29	29
1024	14	51
1025	33	33
1026	47	10
1027	10	10
1028	16	12
1029	28	28
1030	28	28
1031	24	6
1032	36	21
1033	29	12
1034	54	5
1035	10	25
1036	55	55
1037	29	1
1038	14	14
1039	26	7
1040	33	33
1041	36	52
1042	47	31
1043	3	3
1044	53	53
1045	38	36
1046	49	49
1047	40	11
1048	17	49
1049	35	41
1050	32	16
1051	33	29
1052	28	31
1053	17	53
1054	51	51
1055	22	22
1056	37	49
1057	34	31
1058	12	15
1059	48	48
1060	52	16
